Liste	SubjID	Age	Gender	Versuchsleiter	category    color	id	item	Voicekey	Error
1	Jul 01	50	w	Jul	critical    white	8	bomb_white.png	1120	0
1	Jul 01	50	w	Jul	filler  pink	111	glass_pink.png	1186	0
1	Jul 01	50	w	Jul	critical    red	10	tiger_red.png	-1	0
1	Jul 01	50	w	Jul	control yellow	84	music_yellow.png	1652	0
1	Jul 01	50	w	Jul	critical    blue	19	monkey_blue.png	1348	0
1	Jul 01	50	w	Jul	filler  white	101	letter_white.png	1283	0
1	Jul 01	50	w	Jul	critical    green	49	egg_green.png	1029	0
1	Jul 01	50	w	Jul	control red	62	baby_red.png	1382	0
1	Jul 01	50	w	Jul	filler  pink	117	leaf_pink.png	1156	0
1	Jul 01	50	w	Jul	filler  blue	109	pumpkin_blue.png	1271	0
1	Jul 01	50	w	Jul	critical    white	5	crib_white.png	1515	0
1	Jul 01	50	w	Jul	critical    red	18	bird_red.png	1572	0
1	Jul 01	50	w	Jul	control green	96	hair_green.png	1278	0
1	Jul 01	50	w	Jul	control yellow	90	microphone_yellow.png	1061	0
1	Jul 01	50	w	Jul	control blue	70	bra_blue.png	1308	0
1	Jul 01	50	w	Jul	critical    red	9	castle_red.png	1248	0
1	Jul 01	50	w	Jul	control yellow	87	ladder_yellow.png	1129	0
1	Jul 01	50	w	Jul	filler  blue	107	crab_blue.png	1432	0
1	Jul 01	50	w	Jul	control white	51	monkey_white.png	1061	0
1	Jul 01	50	w	Jul	critical    red	15	bridge_red.png	-1	0
1	Jul 01	50	w	Jul	control green	94	microscope_green.png	1296	0
1	Jul 01	50	w	Jul	control blue	74	rain_blue.png	1723	0
1	Jul 01	50	w	Jul	critical    pink	30	bag_pink.png	-1	0
1	Jul 01	50	w	Jul	critical    white	3	balloon_white.png	1282	0
1	Jul 01	50	w	Jul	control red	59	fish_red.png	-1	0
1	Jul 01	50	w	Jul	control yellow	82	bandaid_yellow.png	1361	1
1	Jul 01	50	w	Jul	control green	98	bug_green.png	1785	0
1	Jul 01	50	w	Jul	control white	54	magnet_white.png	1564	0
1	Jul 01	50	w	Jul	filler  pink	112	letter_pink.png	-1	0
1	Jul 01	50	w	Jul	control red	66	star_red.png	1468	0
1	Jul 01	50	w	Jul	control blue	71	clock_blue.png	1166	0
1	Jul 01	50	w	Jul	control white	56	beard_white.png	1254	0
1	Jul 01	50	w	Jul	filler  pink	116	square_pink.png	2073	0
1	Jul 01	50	w	Jul	control green	100	snail_green.png	1705	0
1	Jul 01	50	w	Jul	control blue	69	bone_blue.png	1289	0
1	Jul 01	50	w	Jul	control white	55	bag_white.png	1189	0
1	Jul 01	50	w	Jul	critical    pink	29	cheese_pink.png	-1	0
1	Jul 01	50	w	Jul	control red	68	pillar_red.png	1614	0
1	Jul 01	50	w	Jul	critical    green	45	bat_green.png	1687	0
1	Jul 01	50	w	Jul	control yellow	85	rollerskate_yellow.png	1288	0
1	Jul 01	50	w	Jul	critical    blue	23	microphone_blue.png	1048	0
1	Jul 01	50	w	Jul	control white	53	bird_white.png	1020	0
1	Jul 01	50	w	Jul	control green	92	shovel_green.png	-1	0
1	Jul 01	50	w	Jul	critical    pink	26	mop_pink.png	1393	0
1	Jul 01	50	w	Jul	critical    yellow	36	squirrel_yellow.png	1380	0
1	Jul 01	50	w	Jul	filler  blue	105	glass_blue.png	-1	0
1	Jul 01	50	w	Jul	critical    green	50	nest_green.png	-1	1
1	Jul 01	50	w	Jul	critical    yellow	41	broom_yellow.png	1339	0
1	Jul 01	50	w	Jul	control blue	75	mailbox_blue.png	2045	0
1	Jul 01	50	w	Jul	control red	60	balloon_red.png	-1	0
1	Jul 01	50	w	Jul	control pink	76	bucket_pink.png	1520	0
1	Jul 01	50	w	Jul	control green	93	crib_green.png	1471	0
1	Jul 01	50	w	Jul	critical    red	12	belt_red.png	1572	0
1	Jul 01	50	w	Jul	control white	57	road_white.png	1357	0
1	Jul 01	50	w	Jul	critical    pink	28	curtains_pink.png	1220	0
