"Nummer" "Liste" "SubjID" "Age" "Gender" "Versuchsleiter" "category" "color" "id" "item" "Voicekey" "Error"
"88" 4 "SM03" 19 "w" "SM" "filler" "blue" 108 "policeman_blue.png" -1 0
"89" 4 "SM03" 19 "w" "SM" "critical" "green" 47 "star_green.png" 1845 1
"90" 4 "SM03" 19 "w" "SM" "control" "pink" 80 "lightning_pink.png" -1 1
"91" 4 "SM03" 19 "w" "SM" "control" "yellow" 85 "rollerskate_yellow.png" -1 1
"92" 4 "SM03" 19 "w" "SM" "critical" "white" 4 "baby_white.png" 1294 0
"93" 4 "SM03" 19 "w" "SM" "control" "red" 68 "pillar_red.png" -1 1
"94" 4 "SM03" 19 "w" "SM" "control" "blue" 71 "clock_blue.png" -1 0
"95" 4 "SM03" 19 "w" "SM" "critical" "green" 42 "rain_green.png" -1 0
"96" 4 "SM03" 19 "w" "SM" "control" "white" 58 "broom_white.png" 1367 1
"97" 4 "SM03" 19 "w" "SM" "control" "pink" 79 "bridge_pink.png" -1 1
"98" 4 "SM03" 19 "w" "SM" "critical" "red" 12 "belt_red.png" -1 1
"99" 4 "SM03" 19 "w" "SM" "critical" "yellow" 33 "beard_yellow.png" -1 1
"100" 4 "SM03" 19 "w" "SM" "critical" "white" 7 "bug_white.png" -1 1
"101" 4 "SM03" 19 "w" "SM" "critical" "blue" 19 "monkey_blue.png" -1 1
"102" 4 "SM03" 19 "w" "SM" "control" "red" 61 "peas_red.png" -1 1
"103" 4 "SM03" 19 "w" "SM" "control" "yellow" 88 "curtains_yellow.png" -1 0
"104" 4 "SM03" 19 "w" "SM" "critical" "green" 48 "road_green.png" 1464 0
"105" 4 "SM03" 19 "w" "SM" "filler" "blue" 105 "glass_blue.png" -1 1
"106" 4 "SM03" 19 "w" "SM" "critical" "yellow" 39 "bra_yellow.png" -1 1
"107" 4 "SM03" 19 "w" "SM" "critical" "red" 15 "bridge_red.png" -1 1
"108" 4 "SM03" 19 "w" "SM" "control" "white" 55 "bag_white.png" -1 1
"109" 4 "SM03" 19 "w" "SM" "control" "blue" 75 "mailbox_blue.png" 3271 0
"110" 4 "SM03" 19 "w" "SM" "critical" "pink" 27 "rollerskate_pink.png" -1 1
"111" 4 "SM03" 19 "w" "SM" "critical" "green" 46 "pillow_green.png" 1215 0
"112" 4 "SM03" 19 "w" "SM" "control" "red" 64 "mop_red.png" -1 1
"113" 4 "SM03" 19 "w" "SM" "control" "blue" 72 "church_blue.png" -1 1
"114" 4 "SM03" 19 "w" "SM" "critical" "yellow" 40 "hair_yellow.png" 2050 0
"115" 4 "SM03" 19 "w" "SM" "filler" "white" 101 "letter_white.png" 134 0
"116" 4 "SM03" 19 "w" "SM" "critical" "green" 50 "nest_green.png" 1323 1
